Course Name,Course,Schedule,Course Title,First Name,Last Name,Term,InvitedCount,RespondentCount,%ResponseRatio,"Excluding class sessions, estimate the average number of hours per week spent in preparation or review. - Mean","Overall, did the instructor convey the course material clearly? - Mean","Overall, did the instructor convey the course material in an interesting way? - Mean","Did you take away useful tools, concepts, and/or insights from this course? - Mean",How much did you get out of this course? - Mean,Would you recommend this course to other students? - Mean
33501 02,33501,2,International Commercial Policy,Rodrigo,Adao,Autumn 2020,18,9,50,3.8,3.8,3.9,4.1,3.7,3.3
40721 01,40721,1,Healthcare Analytics Lab,Daniel,Adelman,Autumn 2020,12,10,83.3,13.4,3,3.2,4.2,3.9,3.5
34302 81,34302,81,Entrepreneurship through Acquisition,Mark,Agnew,Autumn 2020,64,54,84.4,4.1,4.6,4.6,4.4,4.2,4.3
34111 01,34111,1,Entrepreneurial Selling,Michael,Alter,Autumn 2020,60,35,58.3,4.6,4.5,4.5,4.4,4.2,4.1
34111 81,34111,81,Entrepreneurial Selling,Michael,Alter,Autumn 2020,53,33,62.3,5.5,4.5,4.5,4.4,4.2,4.3
34501 01,34501,1,Entrepreneurship for Science and Medicine,Robert,Altman,Autumn 2020,14,11,78.6,4,5,4.8,4.6,4.6,4.7
41000 01,41000,1,Business Statistics,Nikhyl,Aragam,Autumn 2020,56,33,58.9,3.3,4,4.1,3.9,3.6,3.9
41000 02,41000,2,Business Statistics,Nikhyl,Aragam,Autumn 2020,64,39,60.9,3.5,4.1,4,4,3.7,3.9
36906 50,36906,50,Stochastic Processes,Baris,Ata,Autumn 2020,6,6,100,13.3,4.5,4.5,4.7,4.7,4.3
30000 03,30000,3,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,62,39,62.9,4.3,4.3,4.3,4.5,4.2,4.4
30000 04,30000,4,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,62,41,66.1,4.5,4.2,4.5,4.2,3.9,4.1
30000 07,30000,7,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,65,39,60,4.9,4.8,4.9,4.5,4.3,4.5
30000 82,30000,82,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2020,65,55,84.6,5.8,4.2,4.7,4.5,4.3,4.5
42003 81,42003,81,Literature and Strategic Leadership,Brian,Barry,Autumn 2020,13,7,53.9,3.7,4.3,4.7,4.3,4.3,4.7
36110 01,36110,1,Application Development,Raghuveera,Betina,Autumn 2020,29,24,82.8,7.7,4.8,4.6,4.6,4.5,4.6
36110 85,36110,85,Application Development,Raghuveera,Betina,Autumn 2020,26,18,69.2,9.3,4.9,4.8,4.8,4.8,4.8
35001 01,35001,1,Introductory Finance,Ayan,Bhattacharya,Autumn 2020,37,30,81.1,4.1,3.9,3.3,4,3.6,3.6
35001 81,35001,81,Introductory Finance,Ayan,Bhattacharya,Autumn 2020,31,18,58.1,3.8,3.7,3.2,3.9,3.6,3.8
35001 85,35001,85,Introductory Finance,Ayan,Bhattacharya,Autumn 2020,15,10,66.7,5.4,4.3,3.8,4.4,4.1,4.3
35201 01,35201,1,Cases in Financial Management,Laura,Born,Autumn 2020,65,35,53.9,5.7,4.9,4.9,4.8,4.7,4.8
34102 81,34102,81,New Venture Strategy,Gregory,Bunch,Autumn 2020,53,50,94.3,3.8,4.6,4.8,4.5,4.2,4.4
40000 01,40000,1,Operations Management: Business Process Fundamentals,Rene,Caldentey,Autumn 2020,70,41,58.6,4.2,4.2,3.8,4.1,3.7,3.9
40000 81,40000,81,Operations Management: Business Process Fundamentals,Rene,Caldentey,Autumn 2020,64,34,53.1,4.3,4.2,4.1,4.2,4,4.1
31401 02,31401,2,Interpersonal Dynamics,Christine,Carpenter,Autumn 2020,12,12,100,4.4,4,4.1,4.3,4.3,4.3
30116 01,30116,1,Accounting and Financial Analysis,Hans,Christensen,Autumn 2020,37,20,54.1,4,4.7,4.5,4.7,4.3,4.7
30116 02,30116,2,Accounting and Financial Analysis,Hans,Christensen,Autumn 2020,31,20,64.5,3.9,4.6,4.6,4.7,4.4,4.4
30116 81,30116,81,Accounting and Financial Analysis,Hans,Christensen,Autumn 2020,23,16,69.6,4.1,4.5,4.5,4.5,4.3,4.4
31402 81,31402,81,Leadership Practicum,Christopher,Collins,Autumn 2020,26,18,69.2,3.3,4.7,4.6,4.6,4.5,4.4
34901 50,34901,50,Asset Pricing I,G M,Constantinides,Autumn 2020,12,9,75,12.9,4.6,4.4,4.4,4.2,4
35100 81,35100,81,Financial Instruments,G M,Constantinides,Autumn 2020,25,15,60,6.1,3.1,3.1,3.7,3.3,3.1
